104 m3	m3/s
Storage	Release
74133.6857	1001.1987
74077.4145	1303.5660
74094.5405	1787.7841
73710.4282	1622.8951
73903.7076	1518.8590
73595.4391	1575.2662
73500.0227	1510.3073
73250.4720	1515.4044
73270.0446	1438.3259
73519.5953	1530.8370
74077.4145	1452.0879
74077.4145	1292.9472
74326.9652	968.4078
73999.1241	814.8739
74231.5488	1125.1133
74326.9652	885.3262
74676.8255	977.4692
74559.3899	1152.8638
74461.5269	575.8797
74114.1131	677.7071
74172.8309	1664.1811
74231.5488	1345.3334
74211.9762	1162.2367
74211.9762	828.4943
74094.5405	855.5369
74077.4145	449.9547
74038.2693	464.2830
74268.2474	754.7006
74598.5351	806.4072
74461.5269	763.8753
75046.2584	840.6705
75026.6858	2158.8198
75259.1105	3050.7155
75007.1132	3056.1523
75239.5379	3213.5657
75065.8310	4040.5308
75161.2475	3438.0333
74676.8255	2968.8231
74850.5324	2966.8693
75046.2584	2859.7750
74657.2529	2609.5956
75007.1132	2116.1463
75007.1132	2501.2554
74251.1214	2952.2295
74657.2529	2807.0207
74598.5351	2711.4796
74928.8228	2024.9943
74268.2474	1826.0685
74657.2529	1542.3620
74850.5324	1671.0621
74366.1104	1685.1922
74461.5269	1783.5366
74114.1131	1985.4357
73519.5953	1864.8909
74520.2447	1315.6290
75007.1132	1620.4599
74461.5269	1455.3160
73690.8556	1681.6809
74752.6694	1455.0045
74620.5543	1597.3533
74375.8967	1755.0215
74375.8967	1259.1086
74375.8967	1215.3307
74375.8967	1204.5420
72932.4171	1309.5975
72810.0884	1257.9193
73959.9789	1173.5634
74057.8419	901.5234
73788.7186	575.9363
73788.7186	796.2697
73886.5816	874.3676
74180.1707	985.7661
74375.8967	1271.3698
74131.2392	1090.7932
73911.0474	678.2451
74082.3077	462.1309
73886.5816	661.9912
73788.7186	636.9591
73959.9789	723.8919
73299.4035	698.3784
73201.5405	658.2251
73128.1432	427.8109
73568.5268	347.8725
73764.2528	512.0252
73911.0474	573.3878
74057.8419	660.9718
74351.4310	876.9727
74400.3625	866.7504
74645.0200	827.4183
73959.9789	650.6928
74204.6364	634.5805
74473.7597	436.4476
74889.6776	432.4832
74889.6776	452.3616
74816.2803	465.9254
74669.4858	246.9229
74718.4173	243.6381
74816.2803	557.8985
75452.3900	475.2983
75721.5133	432.2567
76210.8284	363.3901
76846.9380	350.9873
76993.7326	296.8455
77287.3216	384.1463
77042.6641	429.3400
77116.0613	440.3270
77018.1983	470.9092
76944.8010	513.7242
